investimento_fsa,coproducao,fomento_indireto,publico_total,qtd_sessoes,dias_cartaz,renda_total,independente,cat_duracao,animacao,documentario,ficcao,variedades,videomusical
False,False,False,2279.0,119.0,42.0,28511.88,True,LONGA METRAGEM,False,True,False,False,False
True,False,True,38075.0,738.0,125.0,524262.14,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,3180.0,295.0,100.0,28712.82,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,1999.0,109.0,63.0,19550.5,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,7418.0,382.0,109.0,87099.19,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,83413.0,942.0,42.0,983325.25,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,3633.0,326.0,78.0,31770.34,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,602.0,91.0,51.0,3760.03,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,646224.0,4941.0,108.0,7793226.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,3548.0,86.0,44.0,49546.21,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,7968.0,524.0,102.0,96000.55,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,1274.0,63.0,36.0,17983.5,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,16247.0,541.0,140.0,185152.29,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,426.0,42.0,42.0,8494.44,True,MÉDIA METRAGEM,False,False,True,False,False
False,False,True,11916.0,275.0,67.0,152438.03,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,380.0,69.0,62.0,4536.42,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,10280.0,605.0,114.0,120400.47,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,587.0,58.0,14.0,8884.83,False,LONGA METRAGEM,False,True,False,False,False
False,True,True,234.0,28.0,14.0,3710.42,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,1668.0,163.0,50.0,18130.71,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,6911.0,403.0,70.0,81633.22,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,70751.0,889.0,56.0,927138.44,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,2264.0,82.0,33.0,30922.38,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,427.0,14.0,14.0,5338.5,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,3187.0,225.0,63.0,48018.21,False,LONGA METRAGEM,False,True,False,False,False
False,False,True,1208.0,105.0,44.0,10739.23,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,47.0,10.0,10.0,288.0,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,14.0,13.0,13.0,279.16,True,LONGA METRAGEM,False,True,False,False,False
True,True,True,508968.0,4461.0,147.0,6448691.54,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,328.0,16.0,16.0,6540.320000000001,True,MÉDIA METRAGEM,False,True,False,False,False
False,False,False,307.0,58.0,58.0,3771.0,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,1711.0,116.0,93.0,20728.5,True,LONGA METRAGEM,False,False,True,False,False
